,Unnamed: 0,name,capital,population,latitude,longitude,Virus X
0,0,Sierra,Downieville,3380,36.985898,-119.232078,5
1,1,Sacramento,Sacramento,1424415,38.573659,-121.487147,506
2,2,Santa Barbara,Santa Barbara,428655,34.423403,-119.704416,652
3,3,Calaveras,San Andreas,46127,38.231085,-120.61998999999999,1
4,4,Ventura,Ventura,831587,34.2659,-119.258366,28
5,5,Los Angeles,Los Angeles,10363850,34.052186999999996,-118.243425,9479
6,6,Sonoma,Santa Rosa,484470,38.291942,-122.457776,103
7,7,Kings,Hanford,154434,36.098849,-119.88152,49
8,8,San Diego,San Diego,3146274,32.718834,-117.16384099999999,4660
9,9,Placer,Auburn,333401,39.091575,-120.803947,9
10,10,San Francisco,San Francisco,824525,37.775196,-122.41920400000001,324
11,11,Marin,San Rafael,257406,38.083403000000004,-122.763304,168
12,12,Mariposa,Mariposa,18406,37.483162,-119.963812,1
13,13,Lassen,Susanville,35757,40.539439,-120.712002,6
14,14,Napa,Napa,136704,38.297436,-122.29335800000001,57
15,15,Shasta,Redding,182236,40.59858,-122.491373,1
16,16,Monterey,Salinas,428549,36.593779999999995,-121.882465,112
17,17,Trinity,Weaverville,13966,40.632948,-123.06225500000001,26
18,18,Mendocino,Ukiah,90163,39.309428999999994,-123.79583400000001,29
19,19,Inyo,Independence,18512,36.309186,-117.54958500000001,2
20,20,Mono,Bridgeport,13759,37.921861,-118.95286399999999,1
21,21,Tuolumne,Sonora,56799,37.964366,-120.23598100000001,219
22,22,Solano,Fairfield,426757,38.310497,-121.90179499999999,261
23,23,San Bernardino,San Bernardino,2055766,34.135987,-117.29416100000002,674
24,24,Contra Costa,Martinez,1029703,37.853409,-121.90179499999999,479
25,25,Alpine,Markleeville,1222,32.846973,-116.760551,29
26,26,El Dorado,Placerville,179722,37.676666,-119.778687,21
27,27,Yolo,Woodland,199066,38.733667,-121.80566200000001,1
28,28,Yuba,Marysville,71929,39.132183000000005,-121.62513,3
29,29,San Benito,Hollister,57784,36.509722,-121.08083300000001,3
30,30,Humboldt,Eureka,132821,40.745006,-123.86950900000001,30
31,31,Riverside,Riverside,2088322,33.94743,-117.40041200000002,1075
32,32,Kern,Bakersfield,817517,35.493727,-118.85968000000001,409
33,33,Colusa,Colusa,21910,39.207776,-122.010415,1
34,34,Del Norte,Crescent City,29419,41.707629,-123.965971,3
35,35,Modoc,Alturas,9702,41.456516,-120.62936599999999,1
36,36,Fresno,Fresno,931098,36.743313,-119.789382,113
37,37,Madera,Madera,150887,36.966479,-120.08318100000001,56
38,38,Santa Clara,San Jose,1837075,37.352313,-121.967982,115
39,39,Tehama,Red Bluff,62419,40.021505,-122.125161,1
40,40,San Joaquin,Stockton,685660,36.607409000000004,-120.18850800000001,111
41,41,Alameda,Oakland,1543000,37.776261,-122.276706,941
42,42,Nevada,Nevada City,99186,39.258844,-121.01845800000001,7
43,43,Butte,Oroville,220407,39.5138,-121.55,68
44,44,Merced,Merced,255250,37.297663,-120.476421,20
45,45,Tulare,Visalia,435254,36.196548,-119.343599,14
46,46,Stanislaus,Modesto,525903,37.509071,-120.987632,8
47,47,Orange,Santa Ana,312521,33.788143,-117.85322,2075
48,48,Imperial,El Centro,176158,32.837491,-115.56996200000002,55
49,49,Sutter,Yuba City,95878,39.15675,-121.74906899999999,7
50,50,Amador,Jackson,37943,38.415804,-120.82273899999998,1
51,51,Lake,Lakeport,64059,39.083964,-122.80845,11
52,52,Plumas,Quincy,20917,39.755699,-120.066673,1
53,53,San Mateo,Redwood City,739469,37.559090000000005,-122.321836,85
54,54,Siskiyou,Yreka,45971,41.774326,-122.577013,234
55,55,Santa Cruz,Santa Cruz,266519,36.977905,-122.03336000000002,31
56,56,Glenn,Willows,29195,39.643781,-122.446724,6
57,57,San Luis Obispo,San Luis Obispo,269337,35.269560999999996,-120.67038000000001,173
